"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","GGDEBT","TOT","PC_GDP","A","2013",103.8197,
"ESP","GGDEBT","TOT","PC_GDP","A","2014",117.7329,
"SWE","GGDEBT","TOT","PC_GDP","A","2006",57.59511,
"SWE","GGDEBT","TOT","PC_GDP","A","2007",51.90717,
"SWE","GGDEBT","TOT","PC_GDP","A","2008",50.68481,
"SWE","GGDEBT","TOT","PC_GDP","A","2009",54.54791,
"SWE","GGDEBT","TOT","PC_GDP","A","2010",51.92642,
"SWE","GGDEBT","TOT","PC_GDP","A","2011",52.7993,
"SWE","GGDEBT","TOT","PC_GDP","A","2012",53.39025,
"SWE","GGDEBT","TOT","PC_GDP","A","2013",55.93774,
"SWE","GGDEBT","TOT","PC_GDP","A","2014",62.48607,
"GBR","GGDEBT","TOT","PC_GDP","A","2006",55.30655,
"GBR","GGDEBT","TOT","PC_GDP","A","2007",55.61868,
"GBR","GGDEBT","TOT","PC_GDP","A","2008",68.29416,
"GBR","GGDEBT","TOT","PC_GDP","A","2009",81.69852,
"GBR","GGDEBT","TOT","PC_GDP","A","2010",92.81809,
"GBR","GGDEBT","TOT","PC_GDP","A","2011",106.7283,
"GBR","GGDEBT","TOT","PC_GDP","A","2012",111.0081,
"GBR","GGDEBT","TOT","PC_GDP","A","2013",106.2792,
"GBR","GGDEBT","TOT","PC_GDP","A","2014",116.7622,
"EST","GGDEBT","TOT","PC_GDP","A","2006",8.002686,
"EST","GGDEBT","TOT","PC_GDP","A","2007",7.244682,
"EST","GGDEBT","TOT","PC_GDP","A","2008",8.399088,
"EST","GGDEBT","TOT","PC_GDP","A","2009",12.62136,
"EST","GGDEBT","TOT","PC_GDP","A","2010",11.92719,
"EST","GGDEBT","TOT","PC_GDP","A","2011",9.360659,
"EST","GGDEBT","TOT","PC_GDP","A","2012",12.93233,
"EST","GGDEBT","TOT","PC_GDP","A","2013",13.35325,
"EST","GGDEBT","TOT","PC_GDP","A","2014",13.64997,
"SVN","GGDEBT","TOT","PC_GDP","A","2006",33.26849,
"SVN","GGDEBT","TOT","PC_GDP","A","2007",29.11876,
"SVN","GGDEBT","TOT","PC_GDP","A","2008",28.34694,
"SVN","GGDEBT","TOT","PC_GDP","A","2009",42.49548,
"SVN","GGDEBT","TOT","PC_GDP","A","2010",46.80514,
"SVN","GGDEBT","TOT","PC_GDP","A","2011",50.35464,
"SVN","GGDEBT","TOT","PC_GDP","A","2012",60.59193,
"SVN","GGDEBT","TOT","PC_GDP","A","2013",79.54055,
"SVN","GGDEBT","TOT","PC_GDP","A","2014",97.2597,
