"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","GGNLEND","TOT","PC_GDP","A","2007",-6.70707463437705,
"GRC","GGNLEND","TOT","PC_GDP","A","2008",-10.1681723846374,
"GRC","GGNLEND","TOT","PC_GDP","A","2009",-15.1515035770406,
"GRC","GGNLEND","TOT","PC_GDP","A","2010",-11.2077325138852,
"GRC","GGNLEND","TOT","PC_GDP","A","2011",-10.2425322799167,
"GRC","GGNLEND","TOT","PC_GDP","A","2012",-8.81519639532152,
"GRC","GGNLEND","TOT","PC_GDP","A","2013",-12.4458778714123,
"GRC","GGNLEND","TOT","PC_GDP","A","2014",-3.57401480638764,
"HUN","GGNLEND","TOT","PC_GDP","A","2006",-9.33044807888369,
"HUN","GGNLEND","TOT","PC_GDP","A","2007",-5.06404001685133,
"HUN","GGNLEND","TOT","PC_GDP","A","2008",-3.63900368054504,
"HUN","GGNLEND","TOT","PC_GDP","A","2009",-4.5887839078096,
"HUN","GGNLEND","TOT","PC_GDP","A","2010",-4.52373871581799,
"HUN","GGNLEND","TOT","PC_GDP","A","2011",-5.46694217842962,
"HUN","GGNLEND","TOT","PC_GDP","A","2012",-2.31341891817451,
"HUN","GGNLEND","TOT","PC_GDP","A","2013",-2.48864418948209,
"HUN","GGNLEND","TOT","PC_GDP","A","2014",-2.52384533761165,
"IRL","GGNLEND","TOT","PC_GDP","A","2006",2.80971638282925,
"IRL","GGNLEND","TOT","PC_GDP","A","2007",0.272479023716077,
"IRL","GGNLEND","TOT","PC_GDP","A","2008",-6.98563712840521,
"IRL","GGNLEND","TOT","PC_GDP","A","2009",-13.8349149959882,
"IRL","GGNLEND","TOT","PC_GDP","A","2010",-32.3045844373531,
"IRL","GGNLEND","TOT","PC_GDP","A","2011",-12.5345476837138,
"IRL","GGNLEND","TOT","PC_GDP","A","2012",-8.04433890925843,
"IRL","GGNLEND","TOT","PC_GDP","A","2013",-5.65808392708014,
"IRL","GGNLEND","TOT","PC_GDP","A","2014",-3.87794658236053,
"ITA","GGNLEND","TOT","PC_GDP","A","2006",-3.58568480619089,
"ITA","GGNLEND","TOT","PC_GDP","A","2007",-1.52586013980682,
"ITA","GGNLEND","TOT","PC_GDP","A","2008",-2.69061794803877,
"ITA","GGNLEND","TOT","PC_GDP","A","2009",-5.2667831046386,
"ITA","GGNLEND","TOT","PC_GDP","A","2010",-4.24246352033629,
"ITA","GGNLEND","TOT","PC_GDP","A","2011",-3.47522622219083,
"ITA","GGNLEND","TOT","PC_GDP","A","2012",-2.97904380280988,
"ITA","GGNLEND","TOT","PC_GDP","A","2013",-2.94401989092575,
"ITA","GGNLEND","TOT","PC_GDP","A","2014",-3.03853662955274,
"LUX","GGNLEND","TOT","PC_GDP","A","2006",1.3903269987698,
"LUX","GGNLEND","TOT","PC_GDP","A","2007",4.12597605130813,
"LUX","GGNLEND","TOT","PC_GDP","A","2008",3.26424644995405,
"LUX","GGNLEND","TOT","PC_GDP","A","2009",-0.536953816290855,
"LUX","GGNLEND","TOT","PC_GDP","A","2010",-0.538856879735867,
"LUX","GGNLEND","TOT","PC_GDP","A","2011",0.477078921256356,
"LUX","GGNLEND","TOT","PC_GDP","A","2012",0.160471530106187,
"LUX","GGNLEND","TOT","PC_GDP","A","2013",0.685924041331211,
"LUX","GGNLEND","TOT","PC_GDP","A","2014",1.43579527174191,
"NLD","GGNLEND","TOT","PC_GDP","A","2006",0.210458346857455,
"NLD","GGNLEND","TOT","PC_GDP","A","2007",0.211648839029481,
"NLD","GGNLEND","TOT","PC_GDP","A","2008",0.223730097017506,
"NLD","GGNLEND","TOT","PC_GDP","A","2009",-5.4309032613272,
"NLD","GGNLEND","TOT","PC_GDP","A","2010",-4.9915124336513,
"NLD","GGNLEND","TOT","PC_GDP","A","2011",-4.2884984189545,
"NLD","GGNLEND","TOT","PC_GDP","A","2012",-3.88490368340453,
"NLD","GGNLEND","TOT","PC_GDP","A","2013",-2.38716031324853,
"NLD","GGNLEND","TOT","PC_GDP","A","2014",-2.35647358812258,
"POL","GGNLEND","TOT","PC_GDP","A","2006",-3.58877929120013,
"POL","GGNLEND","TOT","PC_GDP","A","2007",-1.85140713514716,
"POL","GGNLEND","TOT","PC_GDP","A","2008",-3.63017312784091,
"POL","GGNLEND","TOT","PC_GDP","A","2009",-7.31842713955281,
"POL","GGNLEND","TOT","PC_GDP","A","2010",-7.52702309938688,
"POL","GGNLEND","TOT","PC_GDP","A","2011",-4.85107148989791,
"POL","GGNLEND","TOT","PC_GDP","A","2012",-3.68982781990335,
"POL","GGNLEND","TOT","PC_GDP","A","2013",-4.01922067979963,
"POL","GGNLEND","TOT","PC_GDP","A","2014",-3.30211733252981,
"PRT","GGNLEND","TOT","PC_GDP","A","2006",-4.32756006565224,
"PRT","GGNLEND","TOT","PC_GDP","A","2007",-3.00876143501656,
"PRT","GGNLEND","TOT","PC_GDP","A","2008",-3.76566320264779,
"PRT","GGNLEND","TOT","PC_GDP","A","2009",-9.80552663438705,
"PRT","GGNLEND","TOT","PC_GDP","A","2010",-11.1711387771583,
"PRT","GGNLEND","TOT","PC_GDP","A","2011",-7.38284136960417,
"PRT","GGNLEND","TOT","PC_GDP","A","2012",-5.65866682156956,
"PRT","GGNLEND","TOT","PC_GDP","A","2013",-4.84242355641659,
"PRT","GGNLEND","TOT","PC_GDP","A","2014",-7.17579959525199,"E"
"SVK","GGNLEND","TOT","PC_GDP","A","2006",-3.56039405245487,
"SVK","GGNLEND","TOT","PC_GDP","A","2007",-1.91629874614901,
"SVK","GGNLEND","TOT","PC_GDP","A","2008",-2.34102663562918,
"SVK","GGNLEND","TOT","PC_GDP","A","2009",-7.86995088650228,
"SVK","GGNLEND","TOT","PC_GDP","A","2010",-7.46736224545626,
"SVK","GGNLEND","TOT","PC_GDP","A","2011",-4.09488362278794,
"SVK","GGNLEND","TOT","PC_GDP","A","2012",-4.19663887614034,
"SVK","GGNLEND","TOT","PC_GDP","A","2013",-2.64617819646941,
"SVK","GGNLEND","TOT","PC_GDP","A","2014",-2.77599035696674,
"ESP","GGNLEND","TOT","PC_GDP","A","2006",2.19688206243415,
"ESP","GGNLEND","TOT","PC_GDP","A","2007",2.00035714054406,
"ESP","GGNLEND","TOT","PC_GDP","A","2008",-4.42435856431648,
"ESP","GGNLEND","TOT","PC_GDP","A","2009",-10.957671398677,
"ESP","GGNLEND","TOT","PC_GDP","A","2010",-9.38512165178881,
"ESP","GGNLEND","TOT","PC_GDP","A","2011",-9.46036716669174,
"ESP","GGNLEND","TOT","PC_GDP","A","2012",-10.4426046533036,
"ESP","GGNLEND","TOT","PC_GDP","A","2013",-6.90807080964091,
"ESP","GGNLEND","TOT","PC_GDP","A","2014",-5.88948864727804,
"SWE","GGNLEND","TOT","PC_GDP","A","2006",2.18442176890504,
"SWE","GGNLEND","TOT","PC_GDP","A","2007",3.33782926753073,
"SWE","GGNLEND","TOT","PC_GDP","A","2008",1.95344844534433,
"SWE","GGNLEND","TOT","PC_GDP","A","2009",-0.717620052126967,
"SWE","GGNLEND","TOT","PC_GDP","A","2010",-0.029147776956438,
"SWE","GGNLEND","TOT","PC_GDP","A","2011",-0.087404148743483,
"SWE","GGNLEND","TOT","PC_GDP","A","2012",-0.930389709075119,
"SWE","GGNLEND","TOT","PC_GDP","A","2013",-1.36700912409292,
"SWE","GGNLEND","TOT","PC_GDP","A","2014",-1.71063286984658,
"GBR","GGNLEND","TOT","PC_GDP","A","2006",-2.91443318024769,
"GBR","GGNLEND","TOT","PC_GDP","A","2007",-2.99547320472716,
"GBR","GGNLEND","TOT","PC_GDP","A","2008",-5.06285548076233,
"GBR","GGNLEND","TOT","PC_GDP","A","2009",-10.7737154941655,
"GBR","GGNLEND","TOT","PC_GDP","A","2010",-9.70204712422889,
"GBR","GGNLEND","TOT","PC_GDP","A","2011",-7.7129695951787,
"GBR","GGNLEND","TOT","PC_GDP","A","2012",-8.32049713760342,
"GBR","GGNLEND","TOT","PC_GDP","A","2013",-5.65348030403199,
"GBR","GGNLEND","TOT","PC_GDP","A","2014",-5.6980718868071,
"EST","GGNLEND","TOT","PC_GDP","A","2006",2.9064371296234,
"EST","GGNLEND","TOT","PC_GDP","A","2007",2.7169095922789,
"EST","GGNLEND","TOT","PC_GDP","A","2008",-2.66630018156754,
"EST","GGNLEND","TOT","PC_GDP","A","2009",-2.18367776861923,
"EST","GGNLEND","TOT","PC_GDP","A","2010",0.187519490816641,
"EST","GGNLEND","TOT","PC_GDP","A","2011",1.15853303679047,
"EST","GGNLEND","TOT","PC_GDP","A","2012",-0.257691451141645,
"EST","GGNLEND","TOT","PC_GDP","A","2013",-0.141994283415331,
"EST","GGNLEND","TOT","PC_GDP","A","2014",0.735873139277893,
"SVN","GGNLEND","TOT","PC_GDP","A","2006",-1.20432712266498,
"SVN","GGNLEND","TOT","PC_GDP","A","2007",-0.088499880094184,
"SVN","GGNLEND","TOT","PC_GDP","A","2008",-1.41576588244005,
"SVN","GGNLEND","TOT","PC_GDP","A","2009",-5.88118187700118,
"SVN","GGNLEND","TOT","PC_GDP","A","2010",-5.63871166705239,
"SVN","GGNLEND","TOT","PC_GDP","A","2011",-6.57849161026986,
"SVN","GGNLEND","TOT","PC_GDP","A","2012",-4.1429031498857,
"SVN","GGNLEND","TOT","PC_GDP","A","2013",-15.0003884985492,
"SVN","GGNLEND","TOT","PC_GDP","A","2014",-5.04731226955743,
